Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2012.128737712/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xeb3fed8e417c1aa831589d757c7106b3ee71f8d107ff53bac2edaab00b4a52df,18525263,1699422611,2023-11-8 5:50,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.09E-16,4.21E-13,0.002178753,4.383931109,1889.05,,,Ty For The MEV
0xa0a04c5ee386f65f42914dd4c76190ba07e814149128f05f87945ecb217a1cdd,18528844,1699465895,2023-11-8 17:51,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,2.15E-16,4.33E-13,0.008597346,17.29896677,1889.05,,,Ty For The MEV
0xe86de51392d3ad57e2e3cf428af1b95556f38720f9f40b7c8cbcae18b812d130,18529251,1699470815,2023-11-8 19:13,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.78E-15,1.97E-11,0.064845117,130.4767243,1889.05,,,Ty For The MEV
0x16ed7d315884efa71db4d4f23c725b1ef301a4b52a4a37b8fe45e73a12582de7,18530085,1699480871,2023-11-8 22:01,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,1.69E-16,3.40E-13,0.013083517,26.32572058,1889.05,,,Ty For The MEV
0xf3f7236d7d8e5ee0f4c39224f52790225f1e35eccff94f922971bc59ce7f4215,18530085,1699480871,2023-11-8 22:01,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,73.19001859,73.19001859,147267.7397,0.000931189,1.873672315,1889.05,,,Transfer
0x313b0afe7d937323b99382e3e442cad2fba7ed3fd12ab09ce311bf6aba678523,18531071,1699492763,2023-11-9 1:19,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,3.37E-16,6.78E-13,0.005890455,11.85235344,2121.13,,,Ty For The MEV
0x030836b0d8d02e18896c9628fe69eed86f437457b877679bb42535de005e779a,18534411,1699533167,2023-11-9 12:32,0xee7ab2fb4be0662796d54f1f2cba567b1e93ed29,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,,0,0,0,0.001320206,2.656424584,2121.13,,,0x48656c6c
0x1b536f134782ec78e69f52f1ffb171ac4ff1cc1606aac860932a2abdcb097cb1,18534463,1699533803,2023-11-9 12:43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0xee7ab2fb4be0662796d54f1f2cba567b1e93ed29,,0,0,0,0.000884905,1.780542649,2121.13,,,0x4865792c
0xad8cfa69c998db2f938bd4a267ac29822a6a90744c700f05797d7a43d40a9d19,18535060,1699541003,2023-11-9 14:43,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.52E-15,1.92E-11,0.073159309,147.2059486,2121.13,,,Ty For The MEV
0x066953e7d034059c34fb48a6beb9edcaf49d22a1d6fc8adeb3b04b42b5564896,18539112,1699589951,2023-11-10 4:19,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,,0,9.22E-15,1.85E-11,0.0149113,30.00345503,2078.52,,,Ty For The MEV
